Year,Attribute,Value
1949,Capital inputs: Service buildings,0.925152008
1949,Capital inputs: Land,1.373723102
1949,Capital inputs: Inventories,0.748730531
1949,Labor inputs: Total,3.87882399
1949,Labor inputs: Hired labor,2.786415323
1949,Labor inputs: Self-employed and unpaid family,4.546307607
1949,Intermediate inputs: Total,0.445903819
1949,Intermediate inputs: Feed and seed,0.490771322
1949,Intermediate inputs: Energy,1.124234024
1949,Intermediate inputs: Fertilizer and lime,0.289958662
1949,Intermediate inputs: Pesticides,0.019592468
1949,Intermediate inputs: Purchased services,0.432306186
1949,Intermediate inputs: Other intermediate,0.311151763
1949,Total factor productivity (TFP),0.372391108
1950,Total agricultural output,0.34863917
1950,Livestock and products output: Total 1/,0.448576804
1950,Livestock and products output: Meat animals,0.597969314
1950,Livestock and products output: Dairy,0.472826923
1950,Livestock and products output: Poultry and eggs,0.158970849
1950,Crops output: Total,0.308352729
1950,Crops output: Food grains,0.419779586
1950,Crops output: Feed crops,0.369672531
1950,Crops output: Oil crops,0.107492199
1950,Crops output: Vegetables and melons,0.434787026
1950,Crops output: Fruits and nuts,0.273998802
1950,Crops output: Other crops 2/,0.347429665
1950,Farm-related output 3/,0.222828639
1950,Farm inputs: Total ,0.964567047
1950,Capital inputs: Total,1.169548203
1950,Capital inputs: Durable equipment,0.636629786
1950,Capital inputs: Service buildings,0.955875741
1950,Capital inputs: Land,1.376957522
1950,Capital inputs: Inventories,0.738850858
1950,Labor inputs: Total,3.731842224
1950,Labor inputs: Hired labor,2.90492755
1950,Labor inputs: Self-employed and unpaid family,4.236455569
1950,Intermediate inputs: Total,0.454706291
1950,Intermediate inputs: Feed and seed,0.489459969
1950,Intermediate inputs: Energy,1.153243505
1950,Intermediate inputs: Fertilizer and lime,0.370919587
1950,Intermediate inputs: Pesticides,0.025087738
1950,Intermediate inputs: Purchased services,0.44277076
1950,Intermediate inputs: Other intermediate,0.270105592
1950,Total factor productivity (TFP),0.361446279
1951,Total agricultural output,0.364144995
1951,Livestock and products output: Total 1/,0.466605398
1951,Livestock and products output: Meat animals,0.630788071
1951,Livestock and products output: Dairy,0.465134615
1951,Livestock and products output: Poultry and eggs,0.170448964
1951,Crops output: Total,0.325323602
1951,Crops output: Food grains,0.414267436
1951,Crops output: Feed crops,0.357163943
1951,Crops output: Oil crops,0.11238876
1951,Crops output: Vegetables and melons,0.441311154
1951,Crops output: Fruits and nuts,0.299867239
1951,Crops output: Other crops 2/,0.450895266
1951,Farm-related output 3/,0.193014097
1951,Farm inputs: Total ,0.979596165
1951,Capital inputs: Total,1.192799977
1951,Capital inputs: Durable equipment,0.71051483
1951,Capital inputs: Service buildings,0.983986308
1951,Capital inputs: Land,1.378356055
1951,Capital inputs: Inventories,0.756920565
1951,Labor inputs: Total,3.58844855
1951,Labor inputs: Hired labor,2.804683823
1951,Labor inputs: Self-employed and unpaid family,4.066649294
1951,Intermediate inputs: Total,0.47538892
1951,Intermediate inputs: Feed and seed,0.512182194
1951,Intermediate inputs: Energy,1.196977513
1951,Intermediate inputs: Fertilizer and lime,0.36237969
1951,Intermediate inputs: Pesticides,0.021484071
1951,Intermediate inputs: Purchased services,0.481686292
1951,Intermediate inputs: Other intermediate,0.277571549
1951,Total factor productivity (TFP),0.371729707
1953,Total agricultural output,0.38099833
1953,Livestock and products output: Total 1/,0.489348867
1953,Livestock and products output: Meat animals,0.659015603
1953,Livestock and products output: Dairy,0.500524038
1953,Livestock and products output: Poultry and eggs,0.178876561
1953,Crops output: Total,0.339858334
1953,Crops output: Food grains,0.48803322
1953,Crops output: Feed crops,0.368851177
1953,Crops output: Oil crops,0.113452561
1953,Crops output: Vegetables and melons,0.448083176
1953,Crops output: Fruits and nuts,0.303515226
1953,Crops output: Other crops 2/,0.465444544
1953,Farm-related output 3/,0.203356538
1953,Farm inputs: Total ,0.978607397
1953,Capital inputs: Total,1.221481303
1953,Capital inputs: Durable equipment,0.806328564
1953,Capital inputs: Service buildings,1.035699864
1953,Capital inputs: Land,1.374288274
1953,Capital inputs: Inventories,0.820665183
1953,Labor inputs: Total,3.362526204
1953,Labor inputs: Hired labor,2.662122889
1953,Labor inputs: Self-employed and unpaid family,3.789421691
1953,Intermediate inputs: Total,0.481813199
1953,Intermediate inputs: Feed and seed,0.521499132
1953,Intermediate inputs: Energy,1.278820284
1953,Intermediate inputs: Fertilizer and lime,0.352789471
1953,Intermediate inputs: Pesticides,0.027705329
1953,Intermediate inputs: Purchased services,0.473737349
1953,Intermediate inputs: Other intermediate,0.266259565
1953,Total factor productivity (TFP),0.389327049
1954,Total agricultural output,0.380785407
1954,Livestock and products output: Total 1/,0.503201673
1954,Livestock and products output: Meat animals,0.685004327
1954,Livestock and products output: Dairy,0.513048077
1954,Livestock and products output: Poultry and eggs,0.188596609
1954,Crops output: Total,0.332600716
1954,Crops output: Food grains,0.428478553
1954,Crops output: Feed crops,0.38183085
1954,Crops output: Oil crops,0.119309927
1954,Crops output: Vegetables and melons,0.434613453
1954,Crops output: Fruits and nuts,0.316885663
1954,Crops output: Other crops 2/,0.42599079
1954,Farm-related output 3/,0.188939452
1954,Farm inputs: Total ,0.953896884
1954,Capital inputs: Total,1.2321976
1954,Capital inputs: Durable equipment,0.847383233
1954,Capital inputs: Service buildings,1.058392714
1954,Capital inputs: Land,1.368017965
1954,Capital inputs: Inventories,0.803575293
1954,Labor inputs: Total,3.29519391
1954,Labor inputs: Hired labor,2.509897482
1954,Labor inputs: Self-employed and unpaid family,3.7755681
1954,Intermediate inputs: Total,0.456726336
1954,Intermediate inputs: Feed and seed,0.482839262
1954,Intermediate inputs: Energy,1.274834296
1954,Intermediate inputs: Fertilizer and lime,0.358304977
1954,Intermediate inputs: Pesticides,0.030839899
1954,Intermediate inputs: Purchased services,0.458987105
1954,Intermediate inputs: Other intermediate,0.252253089
1954,Total factor productivity (TFP),0.399189276
1955,Total agricultural output,0.391252172
1955,Livestock and products output: Total 1/,0.513094673
1955,Livestock and products output: Meat animals,0.709061804
1955,Livestock and products output: Dairy,0.520769231
1955,Livestock and products output: Poultry and eggs,0.185729179
1955,Crops output: Total,0.344601251
1955,Crops output: Food grains,0.40473659
1955,Crops output: Feed crops,0.402358964
1955,Crops output: Oil crops,0.138261949
1955,Crops output: Vegetables and melons,0.45942604
1955,Crops output: Fruits and nuts,0.332644003
1955,Crops output: Other crops 2/,0.434091426
1955,Farm-related output 3/,0.180872891
1955,Farm inputs: Total ,0.986239319
1955,Capital inputs: Total,1.234367687
1955,Capital inputs: Durable equipment,0.862412846
1955,Capital inputs: Service buildings,1.079193795
1955,Capital inputs: Land,1.357937642
1955,Capital inputs: Inventories,0.824431407
1955,Labor inputs: Total,3.221858774
1955,Labor inputs: Hired labor,2.466677931
1955,Labor inputs: Self-employed and unpaid family,3.683561845
1955,Intermediate inputs: Total,0.496898268
1955,Intermediate inputs: Feed and seed,0.542364204
1955,Intermediate inputs: Energy,1.307968049
1955,Intermediate inputs: Fertilizer and lime,0.361020664
1955,Intermediate inputs: Pesticides,0.040381419
1955,Intermediate inputs: Purchased services,0.474480015
1955,Intermediate inputs: Other intermediate,0.250553435
1955,Total factor productivity (TFP),0.396711188
1956,Total agricultural output,0.393599523
1956,Livestock and products output: Total 1/,0.525025186
1956,Livestock and products output: Meat animals,0.698535206
1956,Livestock and products output: Dairy,0.534774038
1956,Livestock and products output: Poultry and eggs,0.207168971
1956,Crops output: Total,0.341103996
1956,Crops output: Food grains,0.422993226
1956,Crops output: Feed crops,0.396012672
1956,Crops output: Oil crops,0.150384795
1956,Crops output: Vegetables and melons,0.475847164
1956,Crops output: Fruits and nuts,0.32782517
1956,Crops output: Other crops 2/,0.409458594
1956,Farm-related output 3/,0.196184699
1956,Farm inputs: Total ,0.985226187
1956,Capital inputs: Total,1.233536615
1956,Capital inputs: Durable equipment,0.87308036
1956,Capital inputs: Service buildings,1.096823554
1956,Capital inputs: Land,1.344321286
1956,Capital inputs: Inventories,0.836250327
1956,Labor inputs: Total,3.01960723
1956,Labor inputs: Hired labor,2.252522509
1956,Labor inputs: Self-employed and unpaid family,3.489977589
1956,Intermediate inputs: Total,0.513229482
1956,Intermediate inputs: Feed and seed,0.562906664
1956,Intermediate inputs: Energy,1.308072224
1956,Intermediate inputs: Fertilizer and lime,0.364751262
1956,Intermediate inputs: Pesticides,0.055789108
1956,Intermediate inputs: Purchased services,0.487491996
1956,Intermediate inputs: Other intermediate,0.234591683
1956,Total factor productivity (TFP),0.399501686
1957,Total agricultural output,0.389330819
1957,Livestock and products output: Total 1/,0.513433822
1957,Livestock and products output: Meat animals,0.665829565
1957,Livestock and products output: Dairy,0.539649038
1957,Livestock and products output: Poultry and eggs,0.211919375
1957,Crops output: Total,0.338806479
1957,Crops output: Food grains,0.400667746
1957,Crops output: Feed crops,0.433224356
1957,Crops output: Oil crops,0.145212748
1957,Crops output: Vegetables and melons,0.467477411
1957,Crops output: Fruits and nuts,0.335504446
1957,Crops output: Other crops 2/,0.345656326
1957,Farm-related output 3/,0.221939687
1957,Farm inputs: Total ,0.978186696
1957,Capital inputs: Total,1.220187307
1957,Capital inputs: Durable equipment,0.860422651
1957,Capital inputs: Service buildings,1.109967911
1957,Capital inputs: Land,1.328591222
1957,Capital inputs: Inventories,0.814398535
1957,Labor inputs: Total,2.799911593
1957,Labor inputs: Hired labor,2.160936305
1957,Labor inputs: Self-employed and unpaid family,3.189937052
1957,Intermediate inputs: Total,0.52959638
1957,Intermediate inputs: Feed and seed,0.58992364
1957,Intermediate inputs: Energy,1.286263598
1957,Intermediate inputs: Fertilizer and lime,0.368477203
1957,Intermediate inputs: Pesticides,0.040516096
1957,Intermediate inputs: Purchased services,0.505665935
1957,Intermediate inputs: Other intermediate,0.248562
1957,Total factor productivity (TFP),0.398012794
1958,Total agricultural output,0.411025506
1958,Livestock and products output: Total 1/,0.518455625
1958,Livestock and products output: Meat animals,0.676293574
1958,Livestock and products output: Dairy,0.5388125
1958,Livestock and products output: Poultry and eggs,0.225070227
1958,Crops output: Total,0.371955078
1958,Crops output: Food grains,0.591335544
1958,Crops output: Feed crops,0.457069721
1958,Crops output: Oil crops,0.174289598
1958,Crops output: Vegetables and melons,0.485423099
1958,Crops output: Fruits and nuts,0.315186252
1958,Crops output: Other crops 2/,0.362938452
1958,Farm-related output 3/,0.232772512
1958,Farm inputs: Total ,0.982127958
1958,Capital inputs: Total,1.207422963
1958,Capital inputs: Durable equipment,0.84684826
1958,Capital inputs: Service buildings,1.121607309
1958,Capital inputs: Land,1.313281989
1958,Capital inputs: Inventories,0.840619302
1958,Labor inputs: Total,2.669005886
1958,Labor inputs: Hired labor,2.176793452
1958,Labor inputs: Self-employed and unpaid family,2.965910015
1958,Intermediate inputs: Total,0.551162696
1958,Intermediate inputs: Feed and seed,0.61976443
1958,Intermediate inputs: Energy,1.253762513
1958,Intermediate inputs: Fertilizer and lime,0.367987017
1958,Intermediate inputs: Pesticides,0.048672721
1958,Intermediate inputs: Purchased services,0.530277163
1958,Intermediate inputs: Other intermediate,0.252571865
1958,Total factor productivity (TFP),0.418505045
1959,Total agricultural output,0.422036507
1959,Livestock and products output: Total 1/,0.534950677
1959,Livestock and products output: Meat animals,0.712664687
1959,Livestock and products output: Dairy,0.537754808
1959,Livestock and products output: Poultry and eggs,0.233017012
1959,Crops output: Total,0.377085756
1959,Crops output: Food grains,0.472734315
1959,Crops output: Feed crops,0.461834045
1959,Crops output: Oil crops,0.159291177
1959,Crops output: Vegetables and melons,0.512749048
1959,Crops output: Fruits and nuts,0.342109739
1959,Crops output: Other crops 2/,0.435320353
1959,Farm-related output 3/,0.284578914
1959,Farm inputs: Total ,1.008353283
1959,Capital inputs: Total,1.20310392
1959,Capital inputs: Durable equipment,0.850053063
1959,Capital inputs: Service buildings,1.131773682
1959,Capital inputs: Land,1.301564764
1959,Capital inputs: Inventories,0.871198417
1959,Labor inputs: Total,2.650625151
1959,Labor inputs: Hired labor,2.124607454
1959,Labor inputs: Self-employed and unpaid family,2.969395924
1959,Intermediate inputs: Total,0.585910252
1959,Intermediate inputs: Feed and seed,0.632115072
1959,Intermediate inputs: Energy,1.271816139
1959,Intermediate inputs: Fertilizer and lime,0.417109098
1959,Intermediate inputs: Pesticides,0.063813526
1959,Intermediate inputs: Purchased services,0.612153844
1959,Intermediate inputs: Other intermediate,0.308733526
1959,Total factor productivity (TFP),0.418540321
1960,Total agricultural output,0.435612674
1960,Livestock and products output: Total 1/,0.534957889
1960,Livestock and products output: Meat animals,0.708758382
1960,Livestock and products output: Dairy,0.547841346
1960,Livestock and products output: Poultry and eggs,0.231855103
1960,Crops output: Total,0.398632259
1960,Crops output: Food grains,0.563868513
1960,Crops output: Feed crops,0.484962308
1960,Crops output: Oil crops,0.170477744
1960,Crops output: Vegetables and melons,0.507447565
1960,Crops output: Fruits and nuts,0.366420771
1960,Crops output: Other crops 2/,0.455176151
1960,Farm-related output 3/,0.304596513
1960,Farm inputs: Total ,0.988210683
1960,Capital inputs: Total,1.205453419
1960,Capital inputs: Durable equipment,0.857352976
1960,Capital inputs: Service buildings,1.156138065
1960,Capital inputs: Land,1.295647798
1960,Capital inputs: Inventories,0.88186531
1960,Labor inputs: Total,2.502949706
1960,Labor inputs: Hired labor,2.124989778
1960,Labor inputs: Self-employed and unpaid family,2.727377679
1960,Intermediate inputs: Total,0.577069
1960,Intermediate inputs: Feed and seed,0.633326898
1960,Intermediate inputs: Energy,1.288548876
1960,Intermediate inputs: Fertilizer and lime,0.362297693
1960,Intermediate inputs: Pesticides,0.057842029
1960,Intermediate inputs: Purchased services,0.59608867
1960,Intermediate inputs: Other intermediate,0.315133437
1960,Total factor productivity (TFP),0.440809517
1961,Total agricultural output,0.440897579
1961,Livestock and products output: Total 1/,0.562053255
1961,Livestock and products output: Meat animals,0.746065518
1961,Livestock and products output: Dairy,0.5640625
1961,Livestock and products output: Poultry and eggs,0.251664834
1961,Crops output: Total,0.39341308
1961,Crops output: Food grains,0.51692397
1961,Crops output: Feed crops,0.452251594
1961,Crops output: Oil crops,0.196285591
1961,Crops output: Vegetables and melons,0.535744488
1961,Crops output: Fruits and nuts,0.378675382
1961,Crops output: Other crops 2/,0.462307306
1961,Farm-related output 3/,0.2840711
1961,Farm inputs: Total ,0.970068838
1961,Capital inputs: Total,1.201408509
1961,Capital inputs: Durable equipment,0.842677377
1961,Capital inputs: Service buildings,1.178636667
1961,Capital inputs: Land,1.293622217
1961,Capital inputs: Inventories,0.899584131
1961,Labor inputs: Total,2.441608075
1961,Labor inputs: Hired labor,2.115288129
1961,Labor inputs: Self-employed and unpaid family,2.63332158
1961,Intermediate inputs: Total,0.562619323
1961,Intermediate inputs: Feed and seed,0.607164768
1961,Intermediate inputs: Energy,1.318549552
1961,Intermediate inputs: Fertilizer and lime,0.364223047
1961,Intermediate inputs: Pesticides,0.065899078
1961,Intermediate inputs: Purchased services,0.580938802
1961,Intermediate inputs: Other intermediate,0.31641511
1961,Total factor productivity (TFP),0.454501332
1962,Total agricultural output,0.444893027
1962,Livestock and products output: Total 1/,0.560088576
1962,Livestock and products output: Meat animals,0.744130995
1962,Livestock and products output: Dairy,0.570129808
1962,Livestock and products output: Poultry and eggs,0.249976927
1962,Crops output: Total,0.40067441
1962,Crops output: Food grains,0.478887957
1962,Crops output: Feed crops,0.466229073
1962,Crops output: Oil crops,0.198003186
1962,Crops output: Vegetables and melons,0.543931233
1962,Crops output: Fruits and nuts,0.385516207
1962,Crops output: Other crops 2/,0.492587138
1962,Farm-related output 3/,0.289513682
1962,Farm inputs: Total ,0.991073815
1962,Capital inputs: Total,1.198884671
1962,Capital inputs: Durable equipment,0.83075603
1962,Capital inputs: Service buildings,1.203151992
1962,Capital inputs: Land,1.292728439
1962,Capital inputs: Inventories,0.924959142
1962,Labor inputs: Total,2.45011327
1962,Labor inputs: Hired labor,2.111733774
1962,Labor inputs: Self-employed and unpaid family,2.649437092
1962,Intermediate inputs: Total,0.588907149
1962,Intermediate inputs: Feed and seed,0.629040208
1962,Intermediate inputs: Energy,1.336013259
1962,Intermediate inputs: Fertilizer and lime,0.467614798
1962,Intermediate inputs: Pesticides,0.073576736
1962,Intermediate inputs: Purchased services,0.588419855
1962,Intermediate inputs: Other intermediate,0.332152534
1962,Total factor productivity (TFP),0.448899991
1963,Total agricultural output,0.460427405
1963,Livestock and products output: Total 1/,0.574906043
1963,Livestock and products output: Meat animals,0.782988409
1963,Livestock and products output: Dairy,0.568
1963,Livestock and products output: Poultry and eggs,0.255446189
1963,Crops output: Total,0.416059048
1963,Crops output: Food grains,0.50140663
1963,Crops output: Feed crops,0.491423779
1963,Crops output: Oil crops,0.206732932
1963,Crops output: Vegetables and melons,0.546120666
1963,Crops output: Fruits and nuts,0.370607439
1963,Crops output: Other crops 2/,0.515686464
1963,Farm-related output 3/,0.314933024
1963,Farm inputs: Total ,0.999240794
1963,Capital inputs: Total,1.201271546
1963,Capital inputs: Durable equipment,0.830932501
1963,Capital inputs: Service buildings,1.231264513
1963,Capital inputs: Land,1.290876809
1963,Capital inputs: Inventories,0.952225197
1963,Labor inputs: Total,2.347875282
1963,Labor inputs: Hired labor,2.10820761
1963,Labor inputs: Self-employed and unpaid family,2.48556889
1963,Intermediate inputs: Total,0.61031304
1963,Intermediate inputs: Feed and seed,0.654285378
1963,Intermediate inputs: Energy,1.352560407
1963,Intermediate inputs: Fertilizer and lime,0.538176808
1963,Intermediate inputs: Pesticides,0.076569668
1963,Intermediate inputs: Purchased services,0.587448132
1963,Intermediate inputs: Other intermediate,0.348094864
1963,Total factor productivity (TFP),0.46077723
1964,Total agricultural output,0.45780002
1964,Livestock and products output: Total 1/,0.594370988
1964,Livestock and products output: Meat animals,0.821166692
1964,Livestock and products output: Dairy,0.579221154
1964,Livestock and products output: Poultry and eggs,0.264840683
1964,Crops output: Total,0.403118759
1964,Crops output: Food grains,0.555662418
1964,Crops output: Feed crops,0.450600323
1964,Crops output: Oil crops,0.20766255
1964,Crops output: Vegetables and melons,0.527217406
1964,Crops output: Fruits and nuts,0.374576231
1964,Crops output: Other crops 2/,0.510777451
1964,Farm-related output 3/,0.301016654
1964,Farm inputs: Total ,0.983670652
1964,Capital inputs: Total,1.205946668
1964,Capital inputs: Durable equipment,0.840386626
1964,Capital inputs: Service buildings,1.257097969
1964,Capital inputs: Land,1.286675662
1964,Capital inputs: Inventories,0.967284616
1964,Labor inputs: Total,2.206058993
1964,Labor inputs: Hired labor,1.901225704
1964,Labor inputs: Self-employed and unpaid family,2.385287908
1964,Intermediate inputs: Total,0.607118318
1964,Intermediate inputs: Feed and seed,0.641266657
1964,Intermediate inputs: Energy,1.381349032
1964,Intermediate inputs: Fertilizer and lime,0.599999835
1964,Intermediate inputs: Pesticides,0.076211915
1964,Intermediate inputs: Purchased services,0.573708462
1964,Intermediate inputs: Other intermediate,0.371103147
1964,Total factor productivity (TFP),0.465399693
1965,Total agricultural output,0.469894072
1965,Livestock and products output: Total 1/,0.581488586
1965,Livestock and products output: Meat animals,0.792930585
1965,Livestock and products output: Dairy,0.568298077
1965,Livestock and products output: Poultry and eggs,0.27318892
1965,Crops output: Total,0.429339045
1965,Crops output: Food grains,0.570974359
1965,Crops output: Feed crops,0.509114026
1965,Crops output: Oil crops,0.244699893
1965,Crops output: Vegetables and melons,0.531853647
1965,Crops output: Fruits and nuts,0.393835551
1965,Crops output: Other crops 2/,0.482529733
1965,Farm-related output 3/,0.294513161
1965,Farm inputs: Total ,0.97112264
1965,Capital inputs: Total,1.208972497
1965,Capital inputs: Durable equipment,0.853855359
1965,Capital inputs: Service buildings,1.280852983
1965,Capital inputs: Land,1.27905227
1965,Capital inputs: Inventories,0.937011336
1965,Labor inputs: Total,2.15180848
1965,Labor inputs: Hired labor,1.789884561
1965,Labor inputs: Self-employed and unpaid family,2.366845215
1965,Intermediate inputs: Total,0.597546511
1965,Intermediate inputs: Feed and seed,0.628316833
1965,Intermediate inputs: Energy,1.402032551
1965,Intermediate inputs: Fertilizer and lime,0.53420432
1965,Intermediate inputs: Pesticides,0.082712012
1965,Intermediate inputs: Purchased services,0.581766686
1965,Intermediate inputs: Other intermediate,0.369055008
1965,Total factor productivity (TFP),0.483866869
1966,Total agricultural output,0.468496315
1966,Livestock and products output: Total 1/,0.594335735
1966,Livestock and products output: Meat animals,0.823292553
1966,Livestock and products output: Dairy,0.550192308
1966,Livestock and products output: Poultry and eggs,0.289071693
1966,Crops output: Total,0.421094
1966,Crops output: Food grains,0.574618659
1966,Crops output: Feed crops,0.507942845
1966,Crops output: Oil crops,0.25107259
1966,Crops output: Vegetables and melons,0.5649546
1966,Crops output: Fruits and nuts,0.407955033
1966,Crops output: Other crops 2/,0.409708183
1966,Farm-related output 3/,0.281028966
1966,Farm inputs: Total ,0.992032374
1966,Capital inputs: Total,1.21429371
1966,Capital inputs: Durable equipment,0.876190268
1966,Capital inputs: Service buildings,1.30618326
1966,Capital inputs: Land,1.268099045
1966,Capital inputs: Inventories,0.977609317
1966,Labor inputs: Total,1.999189969
1966,Labor inputs: Hired labor,1.612283927
1966,Labor inputs: Self-employed and unpaid family,2.230360173
1966,Intermediate inputs: Total,0.646071549
1966,Intermediate inputs: Feed and seed,0.678324036
1966,Intermediate inputs: Energy,1.422501336
1966,Intermediate inputs: Fertilizer and lime,0.740122549
1966,Intermediate inputs: Pesticides,0.088601198
1966,Intermediate inputs: Purchased services,0.587227381
1966,Intermediate inputs: Other intermediate,0.376590736
1966,Total factor productivity (TFP),0.472259099
1967,Total agricultural output,0.484069695
1967,Livestock and products output: Total 1/,0.60530347
1967,Livestock and products output: Meat animals,0.848406442
1967,Livestock and products output: Dairy,0.545995192
1967,Livestock and products output: Poultry and eggs,0.30239888
1967,Crops output: Total,0.440100911
1967,Crops output: Food grains,0.648209534
1967,Crops output: Feed crops,0.555383761
1967,Crops output: Oil crops,0.258701517
1967,Crops output: Vegetables and melons,0.592543585
1967,Crops output: Fruits and nuts,0.40432163
1967,Crops output: Other crops 2/,0.372896828
1967,Farm-related output 3/,0.288011808
1967,Farm inputs: Total ,0.985036509
1967,Capital inputs: Total,1.220974155
1967,Capital inputs: Durable equipment,0.906757433
1967,Capital inputs: Service buildings,1.334083461
1967,Capital inputs: Land,1.254034055
1967,Capital inputs: Inventories,0.985395341
1967,Labor inputs: Total,1.879006662
1967,Labor inputs: Hired labor,1.497819352
1967,Labor inputs: Self-employed and unpaid family,2.107102545
1967,Intermediate inputs: Total,0.653522686
1967,Intermediate inputs: Feed and seed,0.683551436
1967,Intermediate inputs: Energy,1.416925921
1967,Intermediate inputs: Fertilizer and lime,0.692706604
1967,Intermediate inputs: Pesticides,0.128563429
1967,Intermediate inputs: Purchased services,0.597858484
1967,Intermediate inputs: Other intermediate,0.371098093
1967,Total factor productivity (TFP),0.491423101
1968,Total agricultural output,0.491394707
1968,Livestock and products output: Total 1/,0.603894253
1968,Livestock and products output: Meat animals,0.858064096
1968,Livestock and products output: Dairy,0.541168269
1968,Livestock and products output: Poultry and eggs,0.293697171
1968,Crops output: Total,0.454149164
1968,Crops output: Food grains,0.687137256
1968,Crops output: Feed crops,0.539550228
1968,Crops output: Oil crops,0.295709122
1968,Crops output: Vegetables and melons,0.629065194
1968,Crops output: Fruits and nuts,0.396385374
1968,Crops output: Other crops 2/,0.413795547
1968,Farm-related output 3/,0.274745108
1968,Farm inputs: Total ,0.981136424
1968,Capital inputs: Total,1.231885981
1968,Capital inputs: Durable equipment,0.943483336
1968,Capital inputs: Service buildings,1.370853715
1968,Capital inputs: Land,1.237169896
1968,Capital inputs: Inventories,1.006991056
1968,Labor inputs: Total,1.871789989
1968,Labor inputs: Hired labor,1.449588571
1968,Labor inputs: Self-employed and unpaid family,2.125131018
1968,Intermediate inputs: Total,0.646117781
1968,Intermediate inputs: Feed and seed,0.691783119
1968,Intermediate inputs: Energy,1.420169979
1968,Intermediate inputs: Fertilizer and lime,0.577282796
1968,Intermediate inputs: Pesticides,0.128448188
1968,Intermediate inputs: Purchased services,0.595622261
1968,Intermediate inputs: Other intermediate,0.381276918
1968,Total factor productivity (TFP),0.500842386
1969,Total agricultural output,0.501145281
1969,Livestock and products output: Total 1/,0.606595905
1969,Livestock and products output: Meat animals,0.864714631
1969,Livestock and products output: Dairy,0.537466346
1969,Livestock and products output: Poultry and eggs,0.301469667
1969,Crops output: Total,0.471023731
1969,Crops output: Food grains,0.633963983
1969,Crops output: Feed crops,0.5586855
1969,Crops output: Oil crops,0.299135953
1969,Crops output: Vegetables and melons,0.60323683
1969,Crops output: Fruits and nuts,0.471106844
1969,Crops output: Other crops 2/,0.465837731
1969,Farm-related output 3/,0.254376923
1969,Farm inputs: Total ,0.984410426
1969,Capital inputs: Total,1.230770056
1969,Capital inputs: Durable equipment,0.959053563
1969,Capital inputs: Service buildings,1.39657323
1969,Capital inputs: Land,1.218019553
1969,Capital inputs: Inventories,1.025359899
1969,Labor inputs: Total,1.839294101
1969,Labor inputs: Hired labor,1.462272278
1969,Labor inputs: Self-employed and unpaid family,2.065026146
1969,Intermediate inputs: Total,0.656994984
1969,Intermediate inputs: Feed and seed,0.727656034
1969,Intermediate inputs: Energy,1.441037457
1969,Intermediate inputs: Fertilizer and lime,0.56249725
1969,Intermediate inputs: Pesticides,0.131096159
1969,Intermediate inputs: Purchased services,0.56926037
1969,Intermediate inputs: Other intermediate,0.381080426
1969,Total factor productivity (TFP),0.509081647
1970,Total agricultural output,0.494294255
1970,Livestock and products output: Total 1/,0.627554113
1970,Livestock and products output: Meat animals,0.903831378
1970,Livestock and products output: Dairy,0.543264423
1970,Livestock and products output: Poultry and eggs,0.313983801
1970,Crops output: Total,0.446494202
1970,Crops output: Food grains,0.593353441
1970,Crops output: Feed crops,0.518804086
